nome_empresa;workers_industry_average;workers_industry_best;workers_overall_best;customers_industry_average;customers_industry_best;customers_overall_best;ShareholderseGovernance_industry_average;ShareholderseGovernance_industry_best;ShareholderseGovernance_overall_best;communities_industry_average;communities_industry_best;communities_overall_best;environment_industry_average;environment_industry_best;environment_overall_best
Hewlett Packard Enterprise Company;50;88;100;52;79;86;53;88;94;52;108;108;56;103;113
HP Inc;56;99;100;51;74;86;56;72;94;52;103;108;56;94;113
Bank of America Corporation;63;100;100;50;79;86;48;86;94;49;94;108;44;106;113
Union Pacific Corp;47;90;100;52;74;86;54;85;94;55;83;108;57;85;113
Accenture plc;53;87;100;54;80;86;56;86;94;49;97;108;53;103;113
Trane Technologies;43;80;100;49;72;86;45;82;94;47;95;108;45;91;113
Eversource Energy;59;87;100;55;86;86;58;90;94;60;94;108;65;94;113
Bank of New York - BNY;53;90;100;51;68;86;44;90;94;48;97;108;45;78;113
Citigroup Inc;63;100;100;50;79;86;48;86;94;49;94;108;44;106;113
The Cigna Group;46;94;100;58;74;86;53;90;94;48;70;108;42;80;113
Principal Financial Group Inc;54;86;100;53;86;86;45;88;94;43;77;108;42;93;113
Dow Inc;58;83;100;52;71;86;59;80;94;53;84;108;61;91;113
Applied Materials Inc;59;87;100;51;79;86;56;88;94;52;83;108;56;94;113
Medtronic plc;52;82;100;50;79;86;55;83;94;48;84;108;47;97;113
The Hershey Company;46;71;100;49;66;86;50;86;94;54;98;108;50;110;113
ServiceNow Inc;47;93;100;49;86;86;47;85;94;44;98;108;48;113;113
Verizon Communications Inc;53;79;100;53;74;86;47;73;94;49;81;108;52;80;113
Huntington Bancshares Inc;63;100;100;50;79;86;48;86;94;49;94;108;44;106;113
Alphabet Inc;51;73;100;51;81;86;48;71;94;49;80;108;51;85;113
American Electric Power Company Inc;59;87;100;55;86;86;58;90;94;60;94;108;65;94;113
M&T Bank Corp;63;100;100;50;79;86;48;86;94;49;94;108;44;106;113
Nasdaq Inc;53;90;100;51;68;86;44;90;94;48;97;108;45;78;113
Advanced Micro Devices Inc;59;87;100;51;79;86;56;88;94;52;83;108;56;94;113
Elevance Health;46;94;100;58;74;86;53;90;94;48;70;108;42;80;113
The Hartford Financial Services Group Inc;54;86;100;53;86;86;45;88;94;43;77;108;42;93;113
Ecolab Inc;58;83;100;52;71;86;59;80;94;53;84;108;61;91;113
S&P Global Inc;53;87;100;54;80;86;56;86;94;49;97;108;53;103;113
Organon & Co;57;91;100;52;72;86;50;88;94;49;80;108;49;104;113
Akamai Technologies Inc;51;73;100;51;81;86;48;71;94;49;80;108;51;85;113
Salesforce.com Inc;47;93;100;49;86;86;47;85;94;44;98;108;48;113;113
Abbott Laboratories;52;82;100;50;79;86;55;83;94;48;84;108;47;97;113
Mastercard Inc;53;80;100;54;79;86;58;94;94;52;101;108;49;81;113
Fifth Third Bancorp;63;100;100;50;79;86;48;86;94;49;94;108;44;106;113
Zillow Group Inc;53;87;100;54;80;86;56;86;94;49;97;108;53;103;113
Marathon Petroleum Corp;54;81;100;47;65;86;45;87;94;47;66;108;52;76;113
Intel Corp;59;87;100;51;79;86;56;88;94;52;83;108;56;94;113
JPMorgan Chase & Co;63;100;100;50;79;86;48;86;94;49;94;108;44;106;113
Duke Energy Corporation;59;87;100;55;86;86;58;90;94;60;94;108;65;94;113
American Express Company;53;80;100;54;79;86;58;94;94;52;101;108;49;81;113
PNC Financial Services Group Inc;63;100;100;50;79;86;48;86;94;49;94;108;44;106;113
Merck & Co Inc;57;91;100;52;72;86;50;88;94;49;80;108;49;104;113
Boston Scientific Corp;52;82;100;50;79;86;55;83;94;48;84;108;47;97;113
NVIDIA Corp;59;87;100;51;79;86;56;88;94;52;83;108;56;94;113
Qualcomm Inc;59;87;100;51;79;86;56;88;94;52;83;108;56;94;113
Avangrid Inc;59;87;100;55;86;86;58;90;94;60;94;108;65;94;113
Visa Inc;53;80;100;54;79;86;58;94;94;52;101;108;49;81;113
Truist Financial Corporation;63;100;100;50;79;86;48;86;94;49;94;108;44;106;113
T-Mobile US Inc;53;79;100;53;74;86;47;73;94;49;81;108;52;80;113
CF Industries Holdings Inc;58;83;100;52;71;86;59;80;94;53;84;108;61;91;113
